Test Feature,R-Value,P-Value
Ht,[0.20823713],[0.00160547]
Wt,[0.17716624],[0.00745403]
GP,[0.48225832],[1.24588195e-14]
G,[0.65395893],[4.11674454e-29]
A,[0.74541828],[1.46165349e-41]
A1,[0.70896952],[5.07783112e-36]
A2,[0.71808509],[2.52582343e-37]
PTS,[0.74259233],[4.24412146e-41]
+/-,[0.10356322],[0.11972333]
PIM,[0.33824152],[1.75628939e-07]
Shifts,[0.60677327],[3.06414293e-24]
TOI,[0.65875784],[1.1739494e-29]
TOIX,[0.65862511],[1.2157782e-29]
TOI/GP,[0.75281383],[8.39031945e-43]
TOI%,[0.74470177],[1.9177843e-41]
iBLK,[0.38455547],[2.03424673e-09]
iFOW,[0.72519361],[2.23738052e-38]
iFOL,[0.70889925],[5.19431237e-36]
FO%,[0.24449578],[0.00019903]
OTG,[0.36153478],[2.0385815e-08]
GWG,[0.5422892],[9.11621681e-19]
G.Bkhd,[0.38313447],[2.35763131e-09]
G.Dflct,[0.11617959],[0.08068715]
G.Slap,[0.49325729],[2.4966893e-15]
G.Snap,[0.53014377],[7.30792958e-18]
G.Tip,[0.44828363],[1.25987958e-12]
G.Wrap,[0.21207254],[0.00130731]
G.Wrst,[0.5751856],[2.08135677e-21]
Post,[0.52568029],[1.53805222e-17]
Over,[0.55687459],[6.67902232e-20]
Wide,[0.61055241],[1.33670917e-24]
S.Bkhd,[0.57174425],[4.06112468e-21]
S.Dflct,[0.2688928],[4.04107128e-05]
S.Slap,[0.52510401],[1.69180398e-17]
S.Snap,[0.55311325],[1.32668572e-19]
S.Tip,[0.54817701],[3.22298523e-19]
S.Wrap,[0.31291822],[1.50587801e-06]
S.Wrst,[0.63368551],[6.47329942e-27]
