Ht,[0.20823713]
Wt,[0.17716624]
GP,[0.48225832]
G,[0.65395893]
A,[0.74541828]
A1,[0.70896952]
A2,[0.71808509]
PTS,[0.74259233]
+/-,[0.10356322]
PIM,[0.33824152]
Shifts,[0.60677327]
TOI,[0.65875784]
TOIX,[0.65862511]
TOI/GP,[0.75281383]
TOI%,[0.74470177]
iBLK,[0.38455547]
iFOW,[0.72519361]
iFOL,[0.70889925]
FO%,[0.24449578]
OTG,[0.36153478]
GWG,[0.5422892]
G.Bkhd,[0.38313447]
G.Dflct,[0.11617959]
G.Slap,[0.49325729]
G.Snap,[0.53014377]
G.Tip,[0.44828363]
G.Wrap,[0.21207254]
G.Wrst,[0.5751856]
Post,[0.52568029]
Over,[0.55687459]
Wide,[0.61055241]
S.Bkhd,[0.57174425]
S.Dflct,[0.2688928]
S.Slap,[0.52510401]
S.Snap,[0.55311325]
S.Tip,[0.54817701]
S.Wrap,[0.31291822]
S.Wrst,[0.63368551]
