Ht,[0.00016083]
Wt,[0.12925137]
GP,[0.5342466]
G,[0.579942]
A,[0.61585129]
A1,[0.57300656]
A2,[0.60150726]
PTS,[0.63307175]
+/-,[0.10102216]
PIM,[0.3070497]
Shifts,[0.61671478]
TOI,[0.64966959]
TOI/GP,[0.69274146]
iBLK,[0.58516348]
iFOW,[0.09351501]
iFOL,[0.10591348]
FO%,[0.08771853]
OTG,[0.28127492]
GWG,[0.49250003]
G.Bkhd,[0.09144625]
G.Dflct,[0.22645255]
G.Slap,[0.52737798]
G.Snap,[0.29284135]
G.Tip,[0.24349034]
G.Wrap,[-0.00320727]
G.Wrst,[0.46510898]
Post,[0.38521722]
Over,[0.47007788]
Wide,[0.60670791]
S.Bkhd,[0.41252523]
S.Dflct,[0.35480789]
S.Slap,[0.6524789]
S.Snap,[0.34534141]
S.Tip,[0.32377203]
S.Wrap,[0.09271144]
S.Wrst,[0.56084696]
