Test Feature A,Test Feature B,R-Value,P-Value
G,G,[1.],[0.]
G,A1,[0.77535007],[6.80134198e-56]
G,A2,[0.72941869],[1.77226346e-46]
G,TOI/GP,[0.67728536],[6.78764712e-38]
G,iFOW,[0.06940838],[0.25394241]
G,Wide,[0.81401056],[9.53466256e-66]
A1,A1,[1.],[0.]
A1,A2,[0.81801294],[6.73185863e-67]
A1,TOI/GP,[0.70886408],[7.23417247e-43]
A1,iFOW,[0.04536948],[0.45615419]
A1,Wide,[0.83590729],[2.04527726e-72]
A2,A2,[1.],[0.]
A2,TOI/GP,[0.72427121],[1.52581317e-45]
A2,iFOW,[0.03942244],[0.51735232]
A2,Wide,[0.77185463],[4.22633611e-55]
TOI/GP,TOI/GP,[1.],[nan]
TOI/GP,iFOW,[0.14930183],[0.0137052]
TOI/GP,Wide,[0.75055098],[1.48752124e-50]
iFOW,iFOW,[1.],[0.]
iFOW,Wide,[0.10808714],[0.07513297]
Wide,Wide,[1.],[0.]
